,title,authors
0,Dual Super-Resolution Learning for Semantic Segmentation,"Li Wang,  Dong Li,  Yousong Zhu,  Lu Tian,  Yi Shan"
1,Deep Unfolding Network for Image Super-Resolution,"Kai Zhang,  Luc Van Gool,  Radu Timofte"
2,Unsupervised Learning for Intrinsic Image Decomposition From a Single Image,"Yunfei Liu,  Yu Li,  Shaodi You,  Feng Lu"
3,COCAS: A Large-Scale Clothes Changing Person Dataset for Re-Identification,"Shijie Yu,  Shihua Li,  Dapeng Chen,  Rui Zhao,  Junjie Yan,  Yu Qiao"
4,Dynamic Convolutions: Exploiting Spatial Sparsity for Faster Inference,"Thomas Verelst,  Tinne Tuytelaars"
5,Alleviation of Gradient Exploding in GANs: Fake Can Be Real,"Song Tao,  Jia Wang"
6,Forward and Backward Information Retention for Accurate Binary Neural Networks,"Haotong Qin,  Ruihao Gong,  Xianglong Liu,  Mingzhu Shen,  Ziran Wei,  Fengwei Yu,  Jingkuan Song"
7,Cooling-Shrinking Attack: Blinding the Tracker With Imperceptible Noises,"Bin Yan,  Dong Wang,  Huchuan Lu,  Xiaoyun Yang"
8,Zooming Slow-Mo: Fast and Accurate One-Stage Space-Time Video Super-Resolution,"Xiaoyu Xiang,  Yapeng Tian,  Yulun Zhang,  Yun Fu,  Jan P. Allebach,  Chenliang Xu"
9,A Hierarchical Graph Network for 3D Object Detection on Point Clouds,"Jintai Chen,  Biwen Lei,  Qingyu Song,  Haochao Ying,  Danny Z. Chen,  Jian Wu"
10,Online Joint Multi-Metric Adaptation From Frequent Sharing-Subset Mining for Person Re-Identification,"Jiahuan Zhou,  Bing Su,  Ying Wu"
11,Learning to Discriminate Information for Online Action Detection,"Hyunjun Eun,  Jinyoung Moon,  Jongyoul Park,  Chanho Jung,  Changick Kim"
12,Video to Events: Recycling Video Datasets for Event Cameras,"Daniel Gehrig,  Mathias Gehrig,  Javier Hidalgo-Carrio,  Davide Scaramuzza"
13,Bundle Pooling for Polygonal Architecture Segmentation Problem,"Huayi Zeng,  Kevin Joseph,  Adam Vest,  Yasutaka Furukawa"
14,"Use the Force, Luke! Learning to Predict Physical Forces by Simulating Effects","Kiana Ehsani,  Shubham Tulsiani,  Saurabh Gupta,  Ali Farhadi,  Abhinav Gupta"
15,Articulation-Aware Canonical Surface Mapping,"Nilesh Kulkarni,  Abhinav Gupta,  David F. Fouhey,  Shubham Tulsiani"
