,title,authors
0,Greedy Hierarchical Variational Autoencoders for Large-Scale Video Prediction,"Bohan Wu, Suraj Nair, Roberto Martin-Martin, Li Fei-Fei, Chelsea Finn"
1,Over-the-Air Adversarial Flickering Attacks Against Video Recognition Networks,"Roi Pony, Itay Naeh, Shie Mannor"
2,Person30K: A Dual-Meta Generalization Network for Person Re-Identification,"Yan Bai, Jile Jiao, Wang Ce, Jun Liu, Yihang Lou, Xuetao Feng, Ling-Yu Duan"
3,Privacy Preserving Localization and Mapping From Uncalibrated Cameras,"Marcel Geppert, Viktor Larsson, Pablo Speciale, Johannes L. Schonberger, Marc Pollefeys"
4,Removing Diffraction Image Artifacts in Under-Display Camera via Dynamic Skip Connection Network,"Ruicheng Feng, Chongyi Li, Huaijin Chen, Shuai Li, Chen Change Loy, Jinwei Gu"
5,iVPF: Numerical Invertible Volume Preserving Flow for Efficient Lossless Compression,"Shifeng Zhang, Chen Zhang, Ning Kang, Zhenguo Li"
6,Pose Recognition With Cascade Transformers,"Ke Li, Shijie Wang, Xiang Zhang, Yifan Xu, Weijian Xu, Zhuowen Tu"
7,Body Meshes as Points,"Jianfeng Zhang, Dongdong Yu, Jun Hao Liew, Xuecheng Nie, Jiashi Feng"
8,Style-Aware Normalized Loss for Improving Arbitrary Style Transfer,"Jiaxin Cheng, Ayush Jaiswal, Yue Wu, Pradeep Natarajan, Prem Natarajan"
9,Enhancing the Transferability of Adversarial Attacks Through Variance Tuning,"Xiaosen Wang, Kun He"
10,BiCnet-TKS: Learning Efficient Spatial-Temporal Representation for Video Person Re-Identification,"Ruibing Hou, Hong Chang, Bingpeng Ma, Rui Huang, Shiguang Shan"
11,SceneGen: Learning To Generate Realistic Traffic Scenes,"Shuhan Tan, Kelvin Wong, Shenlong Wang, Sivabalan Manivasagam, Mengye Ren, Raquel Urtasun"
12,Zero-Shot Instance Segmentation,"Ye Zheng, Jiahong Wu, Yongqiang Qin, Faen Zhang, Li Cui"
13,Global Transport for Fluid Reconstruction With Learned Self-Supervision,"Erik Franz, Barbara Solenthaler, Nils Thuerey"
14,Pulsar: Efficient Sphere-Based Neural Rendering,"Christoph Lassner, Michael Zollhofer"
15,Contrastive Learning Based Hybrid Networks for Long-Tailed Image Classification,"Peng Wang, Kai Han, Xiu-Shen Wei, Lei Zhang, Lei Wang"
16,Single-View Robot Pose and Joint Angle Estimation via Render & Compare,"Yann Labbe, Justin Carpentier, Mathieu Aubry, Josef Sivic"
17,Learning the Non-Differentiable Optimization for Blind Super-Resolution,"Zheng Hui, Jie Li, Xiumei Wang, Xinbo Gao"
18,From Synthetic to Real: Unsupervised Domain Adaptation for Animal Pose Estimation,"Chen Li, Gim Hee Lee"
19,Mask Guided Matting via Progressive Refinement Network,"Qihang Yu, Jianming Zhang, He Zhang, Yilin Wang, Zhe Lin, Ning Xu, Yutong Bai, Alan Yuille"
20,Deep Gradient Projection Networks for Pan-sharpening,"Shuang Xu, Jiangshe Zhang, Zixiang Zhao, Kai Sun, Junmin Liu, Chunxia Zhang"
21,TDN: Temporal Difference Networks for Efficient Action Recognition,"Limin Wang, Zhan Tong, Bin Ji, Gangshan Wu"
22,LiBRe: A Practical Bayesian Approach to Adversarial Detection,"Zhijie Deng, Xiao Yang, Shizhen Xu, Hang Su, Jun Zhu"
23,ArtCoder: An End-to-End Method for Generating Scanning-Robust Stylized QR Codes,"Hao Su, Jianwei Niu, Xuefeng Liu, Qingfeng Li, Ji Wan, Mingliang Xu, Tao Ren"
24,Improving Sign Language Translation With Monolingual Data by Sign Back-Translation,"Hao Zhou, Wengang Zhou, Weizhen Qi, Junfu Pu, Houqiang Li"
25,"Sketch, Ground, and Refine: Top-Down Dense Video Captioning","Chaorui Deng, Shizhe Chen, Da Chen, Yuan He, Qi Wu"
26,Normal Integration via Inverse Plane Fitting With Minimum Point-to-Plane Distance,"Xu Cao, Boxin Shi, Fumio Okura, Yasuyuki Matsushita"
27,Pixel Codec Avatars,"Shugao Ma, Tomas Simon, Jason Saragih, Dawei Wang, Yuecheng Li, Fernando De la Torre, Yaser Sheikh"
28,Probabilistic Selective Encryption of Convolutional Neural Networks for Hierarchical Services,"Jinyu Tian, Jiantao Zhou, Jia Duan"
29,DeepMetaHandles: Learning Deformation Meta-Handles of 3D Meshes With Biharmonic Coordinates,"Minghua Liu, Minhyuk Sung, Radomir Mech, Hao Su"
30,Globally Optimal Relative Pose Estimation With Gravity Prior,"Yaqing Ding, Daniel Barath, Jian Yang, Hui Kong, Zuzana Kukelova"
31,Mutual CRF-GNN for Few-Shot Learning,"Shixiang Tang, Dapeng Chen, Lei Bai, Kaijian Liu, Yixiao Ge, Wanli Ouyang"
32,DoDNet: Learning To Segment Multi-Organ and Tumors From Multiple Partially Labeled Datasets,"Jianpeng Zhang, Yutong Xie, Yong Xia, Chunhua Shen"
33,3D AffordanceNet: A Benchmark for Visual Object Affordance Understanding,"Shengheng Deng, Xun Xu, Chaozheng Wu, Ke Chen, Kui Jia"
34,Deep Implicit Templates for 3D Shape Representation,"Zerong Zheng, Tao Yu, Qionghai Dai, Yebin Liu"
35,Semi-Supervised Semantic Segmentation With Cross Pseudo Supervision,"Xiaokang Chen, Yuhui Yuan, Gang Zeng, Jingdong Wang"
36,Ranking Neural Checkpoints,"Yandong Li, Xuhui Jia, Ruoxin Sang, Yukun Zhu, Bradley Green, Liqiang Wang, Boqing Gong"
37,Divergence Optimization for Noisy Universal Domain Adaptation,"Qing Yu, Atsushi Hashimoto, Yoshitaka Ushiku"
38,Exploring Heterogeneous Clues for Weakly-Supervised Audio-Visual Video Parsing,"Yu Wu, Yi Yang"
39,PAUL: Procrustean Autoencoder for Unsupervised Lifting,"Chaoyang Wang, Simon Lucey"
40,Faster Meta Update Strategy for Noise-Robust Deep Learning,"Youjiang Xu, Linchao Zhu, Lu Jiang, Yi Yang"
41,ContactOpt: Optimizing Contact To Improve Grasps,"Patrick Grady, Chengcheng Tang, Christopher D. Twigg, Minh Vo, Samarth Brahmbhatt, Charles C. Kemp"
42,Source-Free Domain Adaptation for Semantic Segmentation,"Yuang Liu, Wei Zhang, Jun Wang"
43,Depth From Camera Motion and Object Detection,"Brent A. Griffin, Jason J. Corso"
44,PPR10K: A Large-Scale Portrait Photo Retouching Dataset With Human-Region Mask and Group-Level Consistency,"Jie Liang, Hui Zeng, Miaomiao Cui, Xuansong Xie, Lei Zhang"
45,Cyclic Co-Learning of Sounding Object Visual Grounding and Sound Separation,"Yapeng Tian, Di Hu, Chenliang Xu"
46,Beyond Static Features for Temporally Consistent 3D Human Pose and Shape From a Video,"Hongsuk Choi, Gyeongsik Moon, Ju Yong Chang, Kyoung Mu Lee"
47,Continual Semantic Segmentation via Repulsion-Attraction of Sparse and Disentangled Latent Representations,"Umberto Michieli, Pietro Zanuttigh"
48,Recorrupted-to-Recorrupted: Unsupervised Deep Learning for Image Denoising,"Tongyao Pang, Huan Zheng, Yuhui Quan, Hui Ji"
49,Reconsidering Representation Alignment for Multi-View Clustering,"Daniel J. Trosten, Sigurd Lokse, Robert Jenssen, Michael Kampffmeyer"
50,TransFill: Reference-Guided Image Inpainting by Merging Multiple Color and Spatial Transformations,"Yuqian Zhou, Connelly Barnes, Eli Shechtman, Sohrab Amirghodsi"
51,Bi-GCN: Binary Graph Convolutional Network,"Junfu Wang, Yunhong Wang, Zhen Yang, Liang Yang, Yuanfang Guo"
52,Iterative Filter Adaptive Network for Single Image Defocus Deblurring,"Junyong Lee, Hyeongseok Son, Jaesung Rim, Sunghyun Cho, Seungyong Lee"
53,UPFlow: Upsampling Pyramid for Unsupervised Optical Flow Learning,"Kunming Luo, Chuan Wang, Shuaicheng Liu, Haoqiang Fan, Jue Wang, Jian Sun"
54,OTA: Optimal Transport Assignment for Object Detection,"Zheng Ge, Songtao Liu, Zeming Li, Osamu Yoshie, Jian Sun"
55,Skeleton Merger: An Unsupervised Aligned Keypoint Detector,"Ruoxi Shi, Zhengrong Xue, Yang You, Cewu Lu"
56,Semi-Supervised Semantic Segmentation With Directional Context-Aware Consistency,"Xin Lai, Zhuotao Tian, Li Jiang, Shu Liu, Hengshuang Zhao, Liwei Wang, Jiaya Jia"
57,Incremental Few-Shot Instance Segmentation,"Dan Andrei Ganea, Bas Boom, Ronald Poppe"
58,Mining Better Samples for Contrastive Learning of Temporal Correspondence,"Sangryul Jeon, Dongbo Min, Seungryong Kim, Kwanghoon Sohn"
59,Exemplar-Based Open-Set Panoptic Segmentation Network,"Jaedong Hwang, Seoung Wug Oh, Joon-Young Lee, Bohyung Han"
60,Learning Deep Classifiers Consistent With Fine-Grained Novelty Detection,"Jiacheng Cheng, Nuno Vasconcelos"
61,SAIL-VOS 3D: A Synthetic Dataset and Baselines for Object Detection and 3D Mesh Reconstruction From Video Data,"Yuan-Ting Hu, Jiahong Wang, Raymond A. Yeh, Alexander G. Schwing"
62,Deep RGB-D Saliency Detection With Depth-Sensitive Attention and Automatic Multi-Modal Fusion,"Peng Sun, Wenhu Zhang, Huanyu Wang, Songyuan Li, Xi Li"
63,Understanding the Behaviour of Contrastive Loss,"Feng Wang, Huaping Liu"
64,Dual Contradistinctive Generative Autoencoder,"Gaurav Parmar, Dacheng Li, Kwonjoon Lee, Zhuowen Tu"
65,Semantic-Aware Video Text Detection,"Wei Feng, Fei Yin, Xu-Yao Zhang, Cheng-Lin Liu"
66,Image Change Captioning by Learning From an Auxiliary Task,"Mehrdad Hosseinzadeh, Yang Wang"
67,FVC: A New Framework Towards Deep Video Compression in Feature Space,"Zhihao Hu, Guo Lu, Dong Xu"
68,Exponential Moving Average Normalization for Self-Supervised and Semi-Supervised Learning,"Zhaowei Cai, Avinash Ravichandran, Subhransu Maji, Charless Fowlkes, Zhuowen Tu, Stefano Soatto"
69,Controllable Image Restoration for Under-Display Camera in Smartphones,"Kinam Kwon, Eunhee Kang, Sangwon Lee, Su-Jin Lee, Hyong-Euk Lee, ByungIn Yoo, Jae-Joon Han"
70,Farewell to Mutual Information: Variational Distillation for Cross-Modal Person Re-Identification,"Xudong Tian, Zhizhong Zhang, Shaohui Lin, Yanyun Qu, Yuan Xie, Lizhuang Ma"
71,LipSync3D: Data-Efficient Learning of Personalized 3D Talking Faces From Video Using Pose and Lighting Normalization,"Avisek Lahiri, Vivek Kwatra, Christian Frueh, John Lewis, Chris Bregler"
72,Quasi-Dense Similarity Learning for Multiple Object Tracking,"Jiangmiao Pang, Linlu Qiu, Xia Li, Haofeng Chen, Qi Li, Trevor Darrell, Fisher Yu"
73,Distilling Object Detectors via Decoupled Features,"Jianyuan Guo, Kai Han, Yunhe Wang, Han Wu, Xinghao Chen, Chunjing Xu, Chang Xu"
74,Roof-GAN: Learning To Generate Roof Geometry and Relations for Residential Houses,"Yiming Qian, Hao Zhang, Yasutaka Furukawa"
75,NetAdaptV2: Efficient Neural Architecture Search With Fast Super-Network Training and Architecture Optimization,"Tien-Ju Yang, Yi-Lun Liao, Vivienne Sze"
76,PhD Learning: Learning With Pompeiu-Hausdorff Distances for Video-Based Vehicle Re-Identification,"Jianan Zhao, Fengliang Qi, Guangyu Ren, Lin Xu"
77,KeepAugment: A Simple Information-Preserving Data Augmentation Approach,"Chengyue Gong, Dilin Wang, Meng Li, Vikas Chandra, Qiang Liu"
