365,6080
364,2075
90,1062
180,994
179,925
363,763
89,647
362,593
358,406
91,362
361,343
360,317
2,313
359,292
357,269
1,268
356,267
88,256
181,251
355,250
87,171
178,166
83,151
84,144
177,141
174,130
354,125
85,112
86,110
353,108
81,105
80,94
351,91
173,90
352,88
175,88
82,87
176,87
348,75
3,75
328,72
329,71
326,68
349,67
172,65
325,61
346,60
296,59
350,59
327,58
297,54
347,53
171,52
68,45
270,45
144,45
344,43
345,43
267,42
298,42
74,40
333,40
340,39
330,39
77,37
78,36
79,35
339,35
51,34
169,33
53,33
269,32
294,32
75,32
52,31
268,31
170,30
23,30
331,30
55,29
4,29
70,28
48,28
63,28
295,27
334,27
76,27
61,27
337,26
143,26
54,26
65,26
166,25
60,25
266,25
66,24
338,24
22,24
71,24
69,24
324,23
343,23
7,23
264,23
142,23
342,22
146,22
236,22
30,22
341,22
67,22
64,21
8,21
24,21
336,21
167,20
57,20
335,20
165,20
140,20
45,19
145,19
50,19
46,19
112,19
164,19
40,19
73,19
205,18
59,18
323,18
20,18
39,18
28,18
34,17
19,17
117,17
72,17
271,17
150,17
265,17
58,17
299,16
322,16
33,16
36,16
157,16
320,16
332,16
56,15
315,15
26,15
263,15
25,15
141,15
27,14
11,14
9,14
21,14
114,14
163,14
154,14
162,14
168,14
235,13
13,13
234,13
38,13
158,13
303,13
111,13
319,13
5,13
293,13
31,12
147,12
148,12
10,12
47,12
49,12
275,12
15,12
94,12
314,12
62,12
16,12
44,12
42,12
149,12
291,11
6,11
204,11
160,11
309,11
122,11
313,11
233,11
37,10
228,10
155,10
161,10
110,10
17,10
284,10
18,10
12,10
248,10
123,10
305,9
229,9
115,9
116,9
317,9
276,9
41,9
310,9
29,9
222,9
113,9
280,9
282,9
159,9
32,8
304,8
153,8
35,8
223,8
281,8
311,8
237,8
218,8
318,8
321,7
156,7
307,7
152,7
260,7
188,7
98,7
206,7
219,7
290,7
214,7
203,7
130,7
273,7
43,7
95,7
185,7
120,7
224,6
125,6
121,6
312,6
301,6
133,6
225,6
274,6
193,6
207,6
96,6
227,6
92,6
272,6
249,6
283,6
101,6
93,6
262,5
244,5
221,5
137,5
220,5
226,5
246,5
316,5
288,5
99,5
129,5
136,5
247,5
239,5
189,5
200,5
151,5
138,5
255,5
104,5
285,5
251,5
97,5
192,5
308,4
14,4
124,4
232,4
289,4
254,4
127,4
243,4
134,4
109,4
230,4
250,4
300,4
258,4
292,4
242,4
302,4
238,3
212,3
107,3
202,3
213,3
259,3
286,3
215,3
195,3
119,3
257,3
128,3
132,3
135,3
126,3
118,3
190,3
102,3
278,3
191,3
287,3
100,3
279,3
240,2
187,2
105,2
245,2
183,2
209,2
253,2
182,2
306,2
261,2
131,2
211,2
210,2
184,2
139,2
252,2
241,1
231,1
103,1
201,1
106,1
199,1
196,1
198,1
217,1
194,1
277,1
