怀柔区,23744,93,1910
平谷区,15000,70,1871
延庆县,29249,84,1734
门头沟区,18174,76,1369
昌平区,66666,66,1292
密云县,70000,65,1185
房山区,15000,66,940
顺义区,60000,75,873
西城区,26534,128,850
东城区,14486,48,791
朝阳区,69000,53,684
丰台区,65466,52,664
海淀区,68980,65,625
大兴区,30000,64,620
石景山区,9999,75,577
通州区,33658,59,553
