Abed Malti,1
Aditya Deshpande,1
Agata Lapedriza,1
Alessandro Rozza,1
Anselm Grundhofer,1
Antonio Agudo,1
Antonio Criminisi,1
Anurag Arnab,1
Artem Rozantsev,1
Asim Unmesh,1
Aviv Eisenschtat,1
Benjamin Charlier,1
Bin Wang,1
Binghui Chen,1
Bo Li,1
Bo Zhao,1
Bolei Zhou,3
Carl Olsson,1
Carsten Rother,6
Cees G. M. Snoek,1
Chandra Kambhamettu,1
Changming Sun,1
Changqing Zhang,2
Changqun Xia,1
Changshui Zhang,1
Chao Ma,1
Chaochao Lu,1
Chi Li,1
Chia-Yin Tsai,1
Ching-Hang Chen,1
Chong Peng,1
Chong You,1
Chris Russell,1
Christian Bailer,1
Christoph Rhemann,1
Christoph Studer,1
Christopher Pal,1
Chung-Yang Huang,1
Colin Lea,1
Constantin Rothkopf,1
D. Scott Phoenix,1
Da Zhang,1
Dan Xu,3
David Berg,1
De-An Huang,3
Deva Ramanan,6
Dimosthenis Karatzas,1
Dinghuang Ji,1
Donald G. Dansereau,1
Donghyeon Cho,1
Eddy Ilg,2
Elad Richardson,1
Eric Brachmann,3
Erik Nijkamp,1
Erik Wijmans,1
Erion Hasanbelliu,1
Fabian Caba Heilbron,1
Farid Boussaid,1
Farnaz Abtahi,1
Federica Bogo,2
Feng Zhou,1
Florian Chabot,1
Francis Bach,1
Francois Fleuret,2
Fuyong Xing,1
Geoffrey Oxholm,1
Geoffrey Pascoe,1
Gerasimos Potamianos,1
Guillaume Garreau,1
Haibin Huang,1
Hailin Jin,2
Hao Tan,1
Hao Wang,1
Haoliang Sun,1
He Wen,1
Henryk Blasinski,1
Hongdong Li,1
Hongsheng Li,3
Huanhang Hu,1
Huchuan Lu,1
Hyeonseob Nam,1
Hyun Soo Park,1
I-An Huang,1
Ian Fischer,1
Jaewon Kim,1
Jagannadan Varadarajan,1
James J. Clark,1
Jan C. van Gemert,1
Jan Svoboda,1
Javier Marin,1
Jean Ponce,2
Ji Wan,1
Jiabin Huang,1
Jianbo Liu,1
Jiandong Tian,2
Jianlong Fu,2
Jiaxin Chen,2
Jiaya Jia,1
Jin Tang,1
Jing Shao,1
Jingming Dong,1
Jintao Li,1
Joao P. Barreto,1
